Lambda,Total Avg Wait Time
5000,9.86E-05
5500,9.91E-05
6000,9.96E-05
6500,1.00E-04
7000,0.000100397
7500,0.000100944
8000,0.000101355
9000,0.000102291
10000,0.000103408
10100,0.000103758
10200,0.000103766
10300,0.00010401
10400,0.000103899
10500,0.00010458
10600,0.000104187
10700,0.000104736
10800,0.000104771
10900,0.00010464
11000,0.000105374
11100,0.00010497
11200,0.000104975
11300,0.000105315
11400,0.000105636
11500,0.000105272
11600,0.000105366
11700,0.000105768
11800,0.000105587
11900,0.000106766
12000,0.000106196
12100,0.0001064
12200,0.000106892
12300,0.000106587
12400,0.000106934
12500,0.000107876
12600,0.000108041
12700,0.000107237
12800,0.000107436
12900,0.000107611
13000,0.000107485
13100,0.00010799
13200,0.000108491
13300,0.00010795
13400,0.000108321
13500,0.000108584
13600,0.000108764
13700,0.000108945
13800,0.000109141
13900,0.000109778
14000,0.000109579
14100,0.000109332
14200,0.000109412
14300,0.000110371
14400,0.000110346
14500,0.000109938
14600,0.000111148
14700,0.000111091
14800,0.00011145
14900,0.000110805
15000,0.000111701
15100,0.000111832
15200,0.000111928
15300,0.000112953
15400,0.000112733
15500,0.000113156
15600,0.000113192
15700,0.00011329
15800,0.000113516
15900,0.000114062
16000,0.000114509
16100,0.000114905
16200,0.000114388
16300,0.000114011
16400,0.000115366
16500,0.0001148
16600,0.000115768
16700,0.000115734
16800,0.000117105
16900,0.000116737
17000,0.000116426
17100,0.000117041
17200,0.000117089
17300,0.000117643
17400,0.000117805
17500,0.000118532
17600,0.000118713
17700,0.000118913
17800,0.000118339
17900,0.000118892
18000,0.000120074
18100,0.000119471
18200,0.000120376
18300,0.000121205
18400,0.000120663
18500,0.000120823
18600,0.000121133
18700,0.000122232
18800,0.00012227
18900,0.000123576
19000,0.000123515
19100,0.000123041
19200,0.000123711
19300,0.000125906
19400,0.00012453
19500,0.000124875
19600,0.000126551
19700,0.000125589
19800,0.000125651
19900,0.000126797
20000,0.000126678
20100,0.000126809
20200,0.000128042
20300,0.000127612
20400,0.000128592
20500,0.000128628
20600,0.000128931
20700,0.000130056
20800,0.000131364
20900,0.000131462
21000,0.000131947
21100,0.000133071
21200,0.000130855
21300,0.000133893
21400,0.000133692
21500,0.000134772
21600,0.000135998
21700,0.00013614
21800,0.000137133
21900,0.00013679
22000,0.000136684
22100,0.000138505
22200,0.000139408
22300,0.000140447
22400,0.000139231
22500,0.00014
22600,0.000140828
22700,0.000143781
22800,0.000144412
22900,0.000142008
23000,0.000144096
23100,0.000144855
23200,0.000145367
23300,0.000145838
23400,0.000145523
23500,0.000149703
23600,0.000148205
23700,0.000148057
23800,0.000151092
23900,0.000151317
24000,0.000150562
24100,0.000155126
24200,0.000154608
24300,0.000154779
24400,0.000158658
24500,0.000162037
24600,0.000159525
24700,0.000159981
24800,0.000161781
24900,0.000163688
25000,0.000164661
25100,0.000164139
25200,0.000164785
25300,0.000167661
25400,0.000165316
25500,0.000169235
25600,0.000171387
25700,0.000171677
25800,0.000172895
25900,0.000176199
26000,0.000178606
26100,0.000176487
26200,0.000184802
26300,0.000182194
26400,0.000188581
26500,0.000187507
26600,0.000186682
26700,0.00019098
26800,0.000189314
26900,0.000197601
27000,0.000199773
27100,0.00019762
27200,0.000200693
27300,0.00020371
27400,0.000211927
27500,0.00021085
27600,0.000207694
27700,0.00021422
27800,0.000213571
27900,0.000225283
28000,0.000226794
28100,0.000231826
28200,0.000224204
28300,0.000236736
28400,0.000234824
28500,0.000244561
28600,0.000259948
28700,0.000241793
28800,0.000258746
28900,0.000257271
29000,0.000266403
29100,0.000274662
29200,0.000286831
29300,0.000294263
29400,0.000287011
29500,0.000287295
29600,0.000301008
29700,0.000323162
29800,0.000325938
29900,0.000333611
30000,0.000348801
30100,0.00035158
30200,0.000375953
30300,0.000383843
30400,0.000393331
30500,0.00041107
30600,0.000431807
30700,0.000438172
30800,0.000474386
30900,0.000484355
31000,0.000523627
31100,0.000558991
31200,0.000558648
31300,0.000656456
31400,0.000678652
31500,0.000726703
31600,0.000800117
31700,0.000887675
31800,0.006
